DATE,MONTH,ROMA_cloud_cover,ROMA_humidity,ROMA_pressure,ROMA_global_radiation,ROMA_sunshine,ROMA_temp_mean,ROMA_temp_min,ROMA_temp_max
20000425,4,5,0.75,1.0144,1.86,9.6,14.1,9.0,19.2
20000426,4,2,0.81,1.0159,2.5,10.8,15.3,8.6,22.0
20000427,4,5,0.86,1.0132,1.4,0.5,16.2,10.0,22.4
20000428,4,7,0.81,1.0103,1.2,1.5,16.8,11.1,21.1
20000429,4,7,0.91,1.0132,0.4,0.0,14.3,11.1,21.1
20000430,4,5,0.87,1.0167,1.96,6.4,14.5,8.6,20.4
20000501,5,4,0.84,1.0137,2.27,8.0,16.1,10.0,22.2
20000502,5,6,0.93,1.0125,1.37,2.5,16.6,12.4,20.8
20000503,5,4,0.85,1.0154,2.18,6.6,16.6,11.0,22.2
20000504,5,5,0.85,1.018,2.59,9.8,18.0,13.0,23.0
20000505,5,5,0.89,1.0168,1.1,0.1,15.8,11.6,20.0
20000506,5,3,0.7,1.0157,2.6,9.2,18.2,12.4,24.0
20000507,5,7,0.83,1.0169,0.94,0.9,19.6,14.2,25.0
20000508,5,3,0.78,1.0189,2.69,9.2,19.7,14.0,25.4
20000509,5,5,0.83,1.0193,0.72,0.0,17.8,13.6,22.0
20000510,5,5,0.63,1.0175,2.1,5.0,20.4,13.6,27.2
20000511,5,4,0.79,1.0185,1.93,5.2,19.7,14.2,25.2
20000512,5,2,0.78,1.018,2.5,10.0,20.1,14.6,25.6
20000513,5,5,0.76,1.0179,2.94,11.5,19.8,13.8,25.8
20000514,5,5,0.73,1.0182,2.32,7.4,20.5,15.0,26.0
20000515,5,4,0.75,1.0184,2.15,9.2,18.9,13.0,24.8
20000516,5,1,0.7,1.0185,2.93,12.2,19.9,13.8,26.0
20000517,5,1,0.62,1.0169,3.0,12.5,19.7,13.0,26.4
20000518,5,2,0.68,1.0138,3.01,12.4,19.1,12.6,25.6
20000519,5,4,0.78,1.0106,2.41,10.8,18.9,15.2,22.6
20000520,5,2,0.73,1.01,3.06,12.0,17.9,13.0,22.8
20000521,5,5,0.79,1.0132,2.51,10.2,19.0,13.6,24.4
20000522,5,5,0.81,1.0146,2.02,4.4,19.8,15.6,24.0
20000523,5,3,0.77,1.0166,2.79,12.0,20.4,15.2,25.6
20000524,5,4,0.74,1.017,2.75,10.2,20.1,15.0,25.2
20000525,5,3,0.64,1.0163,2.81,11.6,20.2,13.8,26.6
20000526,5,4,0.7,1.0162,2.54,11.5,21.2,15.0,27.4
20000527,5,3,0.82,1.0153,2.66,10.1,21.3,16.4,26.2
20000528,5,4,0.82,1.0153,2.6,10.0,19.0,15.0,23.0
20000529,5,4,0.82,1.0144,2.75,10.4,19.9,15.6,24.2
20000530,5,2,0.75,1.0153,3.02,12.5,21.8,17.0,26.6
20000531,5,3,0.76,1.0157,2.43,6.7,20.6,14.8,26.4
20000601,6,2,0.7,1.0191,2.89,12.4,21.4,15.0,27.8
20000602,6,1,0.7,1.0207,3.02,12.0,21.4,15.4,27.4
20000603,6,0,0.53,1.0193,3.03,12.4,22.3,16.0,28.6
20000604,6,1,0.64,1.0189,3.02,12.5,22.1,16.0,28.2
20000605,6,1,0.34,1.0183,3.02,12.0,22.3,15.4,29.2
20000606,6,4,0.73,1.0143,2.56,8.6,22.4,16.0,28.8
20000607,6,7,0.73,1.0132,1.53,3.5,19.5,13.0,26.0
20000608,6,5,0.73,1.0164,2.78,9.2,24.0,17.0,31.0
20000609,6,3,0.73,1.0175,2.62,8.2,23.6,15.8,31.4
20000610,6,2,0.73,1.0151,2.87,9.8,23.8,17.2,30.4
20000611,6,7,0.73,1.0136,0.94,0.3,21.2,16.8,25.6
20000612,6,5,0.73,1.019,2.4,7.0,21.3,15.6,27.0
20000613,6,2,0.18,1.0231,3.03,12.2,21.7,15.8,27.6
20000614,6,2,0.64,1.0215,3.08,12.5,22.5,15.0,30.0
20000615,6,4,0.68,1.0176,2.58,8.7,23.6,18.2,29.0
20000616,6,3,0.76,1.014,2.31,7.5,22.6,15.8,29.4
20000617,6,2,0.71,1.0178,2.58,11.0,22.9,15.8,30.0
20000618,6,0,0.37,1.0241,3.33,12.4,21.3,14.6,28.0
20000619,6,0,0.55,1.0231,3.14,12.7,20.9,13.6,28.2
20000620,6,0,0.49,1.0213,3.11,13.0,21.7,15.2,28.2
20000621,6,1,0.58,1.0201,3.14,12.1,22.8,16.0,29.6
20000622,6,0,0.58,1.0204,3.21,13.6,22.3,15.0,29.6
20000623,6,1,0.63,1.0186,3.04,11.8,23.0,16.8,29.2
20000624,6,3,0.71,1.015,2.75,10.8,22.9,17.8,28.0
20000625,6,5,0.81,1.0125,1.72,7.5,20.9,18.0,23.8
20000626,6,1,0.74,1.0139,3.02,12.0,21.5,14.8,28.2
20000627,6,1,0.67,1.0165,2.83,12.1,22.4,16.4,28.4
20000628,6,2,0.68,1.0142,3.0,12.3,22.5,16.6,28.4
20000629,6,4,0.8,1.0114,1.67,5.0,23.0,19.0,27.0
20000630,6,2,0.79,1.0136,2.75,12.0,22.8,17.6,28.0
20000701,7,1,0.74,1.0158,2.91,12.1,23.3,17.6,29.0
20000702,7,0,0.57,1.0177,3.1,12.5,24.9,17.8,32.0
20000703,7,0,0.44,1.015,2.99,12.0,26.2,18.2,34.2
20000704,7,2,0.26,1.0114,1.98,6.8,29.5,24.0,35.0
20000705,7,0,0.72,1.0144,3.23,12.8,24.8,19.8,29.8
20000706,7,0,0.62,1.0173,3.01,12.3,25.3,17.4,33.2
20000707,7,1,0.5,1.0134,2.84,11.3,26.5,18.0,35.0
20000708,7,1,0.6,1.0071,3.1,12.0,24.9,20.8,29.0
20000709,7,2,0.72,1.008,2.79,12.0,23.4,18.0,28.8
20000710,7,4,0.78,1.0079,2.42,8.8,21.6,17.0,26.2
20000711,7,6,0.78,1.0049,2.01,7.5,21.6,18.0,25.2
20000712,7,4,0.71,1.0101,2.69,9.4,19.8,14.2,25.4
20000713,7,2,0.73,1.0147,3.1,12.2,18.3,12.0,24.6
20000714,7,5,0.8,1.0101,2.6,8.4,20.3,15.8,24.8
20000715,7,5,0.84,1.0022,2.5,9.5,21.2,17.0,25.4
20000716,7,3,0.71,1.0074,2.92,11.8,19.7,14.6,24.8
20000717,7,2,0.65,1.0163,2.99,12.1,19.9,13.6,26.2
20000718,7,4,0.67,1.015,2.86,12.2,21.0,15.0,27.0
20000719,7,1,0.6,1.013,3.04,12.0,22.5,15.8,29.2
20000720,7,2,0.62,1.0129,2.85,11.7,22.4,16.0,28.8
20000721,7,1,0.68,1.0158,2.86,12.3,21.4,15.4,27.4
20000722,7,1,0.64,1.0169,2.95,12.5,22.7,16.0,29.4
20000723,7,1,0.47,1.0183,2.83,11.6,22.3,15.0,29.6
20000724,7,4,0.4,1.0155,2.14,7.2,24.0,17.6,30.4
20000725,7,2,0.68,1.0129,2.57,11.0,25.5,22.0,29.0
20000726,7,0,0.78,1.013,2.77,11.9,24.7,19.2,30.2
20000727,7,1,0.74,1.0148,2.81,12.3,26.3,20.4,32.2
20000728,7,0,0.66,1.0116,2.85,12.1,25.4,18.4,32.4
20000729,7,1,0.66,1.0114,2.89,12.5,24.1,17.6,30.6
20000730,7,1,0.63,1.0143,2.87,12.5,23.6,17.0,30.2
20000731,7,1,0.51,1.0189,2.88,12.1,24.1,17.6,30.6
20000801,8,0,0.61,1.0219,2.85,12.5,23.3,16.6,30.0
20000802,8,0,0.55,1.0211,2.8,12.0,24.6,17.0,32.2
20000803,8,0,0.51,1.0193,2.74,11.8,25.0,17.6,32.4
20000804,8,2,0.48,1.0158,2.66,11.0,24.7,17.2,32.2
20000805,8,4,0.82,1.0144,1.16,5.2,20.6,16.2,25.0
20000806,8,3,0.82,1.0168,2.44,11.1,21.4,17.8,25.0
20000807,8,4,0.87,1.0167,1.78,5.2,21.8,17.6,26.0
20000808,8,1,0.67,1.017,2.8,12.0,22.9,15.8,30.0
20000809,8,2,0.65,1.0172,2.61,11.4,23.4,16.8,30.0
20000810,8,0,0.61,1.0162,2.69,12.2,24.0,17.6,30.4
20000811,8,1,0.69,1.0145,2.67,12.2,24.7,17.8,31.6
20000812,8,1,0.69,1.0137,2.64,11.8,24.4,18.2,30.6
20000813,8,4,0.63,1.0163,1.72,7.6,24.6,18.6,30.6
20000814,8,5,0.68,1.0174,2.51,9.9,25.0,19.6,30.4
20000815,8,1,0.65,1.0165,2.54,11.8,25.9,18.4,33.4
20000816,8,0,0.6,1.015,2.62,11.7,26.0,18.2,33.8
20000817,8,0,0.58,1.0152,2.59,11.8,26.0,18.4,33.6
20000818,8,0,0.7,1.016,2.49,11.6,26.4,19.8,33.0
20000819,8,1,0.72,1.0174,2.5,11.7,26.7,20.0,33.4
20000820,8,0,0.57,1.0174,2.57,12.0,26.9,19.0,34.8
20000821,8,0,0.49,1.0159,2.48,11.6,26.5,18.6,34.4
20000822,8,1,0.54,1.0151,2.31,10.5,27.5,20.0,35.0
20000823,8,2,0.56,1.0166,2.2,8.6,28.8,19.6,38.0
20000824,8,2,0.68,1.0183,2.14,8.0,29.3,23.0,35.6
20000825,8,1,0.74,1.0147,2.35,10.7,27.1,19.6,34.6
20000826,8,1,0.74,1.0123,2.3,10.0,27.0,20.2,33.8
20000827,8,3,0.85,1.0125,2.13,10.0,26.0,19.4,32.6
20000828,8,3,0.76,1.0142,2.07,9.5,25.7,20.2,31.2
20000829,8,2,0.78,1.0166,2.01,9.9,25.0,19.8,30.2
20000830,8,1,0.78,1.0157,2.19,10.0,25.0,19.0,31.0
20000831,8,4,0.88,1.0094,1.37,2.5,23.4,17.8,29.0
20000901,9,3,0.74,1.0072,2.36,10.8,23.4,17.6,29.2
20000902,9,1,0.78,1.0094,2.37,11.0,23.4,17.4,29.4
20000903,9,3,0.77,1.008,2.29,10.9,23.9,19.8,28.0
20000904,9,5,0.82,1.0098,1.77,6.4,20.9,15.6,26.2
20000905,9,1,0.65,1.0142,2.39,11.2,19.5,13.2,25.8
20000906,9,2,0.58,1.0172,2.32,11.0,19.4,12.8,26.0
20000907,9,6,0.88,1.0108,0.84,0.1,19.3,15.2,23.4
20000908,9,3,0.66,1.0112,2.01,9.1,20.0,14.0,26.0
20000909,9,3,0.55,1.0177,1.99,8.5,22.2,14.6,29.8
20000910,9,3,0.6,1.0172,2.06,11.0,22.6,16.0,29.2
20000911,9,1,0.69,1.0139,2.13,10.9,21.5,14.6,28.4
20000912,9,1,0.74,1.0139,2.14,10.5,21.4,14.6,28.2
20000913,9,3,0.68,1.0152,2.04,9.8,21.4,14.4,28.4
20000914,9,2,0.78,1.0167,2.05,10.5,20.9,14.0,27.8
20000915,9,2,0.81,1.0171,2.03,10.0,21.1,14.8,27.4
20000916,9,4,0.87,1.0155,1.74,8.4,22.0,17.0,27.0
20000917,9,3,0.82,1.0103,2.03,10.0,23.0,17.4,28.6
20000918,9,3,0.84,1.0088,1.81,8.5,22.9,18.4,27.4
20000919,9,6,0.82,1.0101,1.0,2.0,22.0,16.4,27.6
20000920,9,5,0.55,1.0084,1.81,7.4,25.7,20.8,30.6
20000921,9,3,0.74,1.013,1.68,8.5,20.5,16.8,24.2
20000922,9,0,0.67,1.0168,2.0,10.2,20.0,12.4,27.6
20000923,9,2,0.74,1.0182,1.7,9.7,20.0,13.8,26.2
20000924,9,2,0.8,1.0194,1.83,9.2,20.3,14.2,26.4
20000925,9,2,0.71,1.0206,1.63,9.2,20.4,14.4,26.4
20000926,9,1,0.79,1.0213,1.86,10.2,19.9,12.8,27.0
20000927,9,2,0.78,1.0201,1.76,9.9,20.0,13.0,27.0
20000928,9,4,0.89,1.0168,1.43,6.6,20.9,15.0,26.8
20000929,9,7,0.88,1.0105,0.32,0.0,19.5,15.8,23.2
20000930,9,6,0.9,1.0067,0.7,3.2,19.6,16.8,22.4
20001001,10,6,0.93,1.0066,1.27,5.5,19.4,17.1,23.0
20001002,10,6,0.94,1.0083,0.69,1.6,17.3,13.5,22.0
20001003,10,6,0.88,1.0094,0.85,2.5,17.5,13.4,22.0
20001004,10,7,0.94,1.012,0.61,1.0,17.6,15.0,21.6
20001005,10,6,0.89,1.0126,1.23,4.7,18.4,11.1,23.0
20001006,10,6,0.92,1.0121,1.52,6.8,18.3,15.0,23.0
20001007,10,4,0.92,1.0113,0.95,4.5,17.3,12.2,22.4
20001008,10,4,0.81,1.0107,1.53,6.5,15.2,10.0,20.4
20001009,10,4,0.87,1.0108,1.22,6.0,14.9,10.0,19.8
20001010,10,6,0.91,1.0075,0.76,2.4,16.0,11.0,21.0
20001011,10,6,0.88,1.0063,1.22,5.5,16.8,13.0,20.6
20001012,10,2,0.74,1.0092,1.54,9.0,21.6,18.2,25.0
20001013,10,5,0.35,1.0092,1.18,3.0,23.9,17.8,30.0
20001014,10,6,0.49,1.011,1.15,4.5,24.1,19.6,28.6
20001015,10,6,0.85,1.0124,0.22,0.7,18.2,12.4,24.0
20001016,10,6,0.92,1.0191,0.86,1.0,16.9,13.0,20.8
20001017,10,5,0.97,1.0216,0.84,3.5,16.1,12.0,20.2
20001018,10,2,0.93,1.0224,1.39,8.4,14.9,9.8,20.0
20001019,10,2,0.88,1.0214,1.45,8.2,14.9,9.4,20.4
20001020,10,1,0.9,1.0229,1.25,7.5,15.6,10.0,21.2
20001021,10,2,0.87,1.0249,1.28,8.4,16.9,10.8,23.0
20001022,10,3,0.87,1.0278,1.25,7.5,16.6,11.8,21.4
20001023,10,2,0.91,1.0278,1.11,7.5,15.5,10.2,20.8
20001024,10,1,0.88,1.026,1.27,8.3,15.7,10.2,21.2
20001025,10,5,0.93,1.0234,0.71,3.2,15.4,10.8,20.0
20001026,10,5,0.94,1.0185,0.82,1.7,16.0,11.0,21.0
20001027,10,4,0.94,1.0171,1.08,7.5,16.7,11.8,21.6
20001028,10,2,0.92,1.0203,1.0,6.5,16.5,11.0,22.0
20001029,10,3,0.94,1.0212,0.83,5.0,15.8,11.4,20.2
20001030,10,5,0.92,1.0191,1.04,5.6,17.2,13.8,20.6
20001031,10,6,0.97,1.0117,0.7,2.6,18.2,16.0,20.4
20001101,11,5,0.86,1.0111,1.14,9.0,15.2,11.2,19.2
20001102,11,5,0.86,1.0147,1.09,6.2,15.0,10.6,19.4
20001103,11,6,0.95,1.0105,0.77,3.8,17.0,13.6,20.4
20001104,11,5,0.88,1.0134,0.7,6.2,13.9,10.8,17.0
20001105,11,4,0.84,1.0181,0.9,5.8,13.5,9.2,17.8
20001106,11,7,0.97,1.0069,0.2,0.0,14.4,11.4,17.4
20001107,11,7,0.91,1.0004,0.5,2.5,13.8,10.8,16.7
20001108,11,6,0.86,1.0088,0.72,4.0,13.0,8.8,17.2
20001109,11,7,0.91,1.0167,0.69,3.5,13.0,9.4,16.6
20001110,11,3,0.9,1.0226,0.7,5.9,12.9,8.0,17.8
20001111,11,2,0.87,1.0266,1.03,8.8,11.0,5.6,16.4
20001112,11,6,0.94,1.0241,0.38,0.5,10.8,4.0,17.6
20001113,11,5,0.9,1.0164,0.8,4.0,18.5,16.8,20.2
20001114,11,5,0.96,1.0143,0.72,6.2,18.5,17.0,20.0
20001115,11,6,0.88,1.0172,0.65,2.0,18.4,16.8,20.0
20001116,11,5,0.63,1.0143,0.96,7.0,19.6,17.4,21.8
20001117,11,6,0.85,1.0094,0.44,2.0,15.6,11.8,19.4
20001118,11,6,0.88,1.0107,0.64,3.4,12.1,8.8,15.4
20001119,11,7,0.97,1.0078,0.18,0.0,9.0,7.0,11.0
20001120,11,6,0.92,1.0122,0.52,3.0,11.5,7.0,16.0
20001121,11,6,0.95,1.0101,0.41,1.8,12.9,9.6,16.2
20001122,11,2,0.93,1.0172,0.83,6.1,10.4,6.4,14.4
20001123,11,3,0.89,1.0182,0.68,4.0,10.2,4.8,15.6
20001124,11,7,0.94,1.0105,0.24,1.0,12.7,9.8,15.6
20001125,11,3,0.89,1.0089,0.82,6.7,10.7,6.6,14.8
20001126,11,5,0.91,1.0094,0.15,1.0,10.2,4.6,15.8
20001127,11,3,0.77,1.015,0.84,6.5,10.0,5.6,14.4
20001128,11,1,0.79,1.0214,0.88,8.4,8.3,3.6,13.0
20001129,11,2,0.88,1.0219,0.82,7.9,8.9,3.2,14.6
20001130,11,4,0.86,1.0217,0.62,3.9,9.3,4.0,14.6
20001201,12,1,0.89,1.0237,0.79,7.3,10.4,4.8,16.0
20001202,12,5,0.95,1.0239,0.66,5.0,11.7,6.4,17.0
20001203,12,6,0.9,1.0186,0.45,1.5,13.1,8.8,17.4
20001204,12,2,0.92,1.0194,0.66,5.8,10.2,5.4,15.0
20001205,12,1,0.91,1.0221,0.77,7.8,8.5,4.8,15.0
20001206,12,2,0.92,1.0228,0.69,7.6,9.2,4.0,14.4
20001207,12,4,0.93,1.0229,0.56,2.6,9.8,4.8,14.8
20001208,12,5,0.93,1.0205,0.38,0.1,12.0,8.0,16.0
20001209,12,4,0.93,1.0218,0.7,6.4,11.5,5.2,17.8
20001210,12,4,0.91,1.025,0.64,6.3,11.8,7.4,16.2
20001211,12,1,0.88,1.0294,0.82,8.0,10.7,5.4,16.0
20001212,12,3,0.89,1.0308,0.72,7.0,9.0,4.4,13.6
20001213,12,5,0.93,1.0271,0.36,0.4,9.4,4.0,14.8
20001214,12,6,0.91,1.0196,0.29,0.3,13.4,11.0,15.8
20001215,12,5,0.86,1.0103,0.4,1.8,14.3,11.6,17.0
20001216,12,3,0.79,1.0117,0.72,3.8,8.6,4.2,13.0
20001217,12,5,0.89,1.0152,0.48,7.5,9.3,5.6,13.0
20001218,12,4,0.89,1.0192,0.56,5.9,9.0,5.0,13.0
20001219,12,3,0.88,1.0221,0.62,4.6,6.9,2.0,11.8
20001220,12,6,0.93,1.0197,0.09,0.0,8.0,5.2,10.8
20001221,12,7,0.89,1.0189,0.14,0.0,9.7,8.0,11.4
20001222,12,2,0.8,1.0172,0.75,8.0,7.1,2.4,11.8
20001223,12,3,0.81,1.0184,0.7,7.2,5.1,0.4,9.8
20001224,12,5,0.85,1.0144,0.13,0.1,6.9,0.6,13.2
20001225,12,7,0.96,1.0034,0.26,0.3,14.0,12.4,15.6
20001226,12,6,0.94,0.9986,0.39,2.9,11.6,8.0,15.2
20001227,12,7,0.95,0.9926,0.17,0.0,13.1,11.0,15.2
20001228,12,5,0.9,0.9942,0.52,5.2,11.3,7.6,15.0
20001229,12,7,0.93,0.9967,0.33,1.0,10.5,7.2,13.8
20001230,12,5,0.84,0.9998,0.46,3.5,7.5,2.4,12.6
20001231,12,5,0.74,1.0002,0.78,6.0,9.5,5.8,13.2
20010101,1,1,0.8,1.0154,0.87,8.0,6.5,2.8,10.2
20010102,1,2,0.84,1.0175,0.86,8.2,7.4,1.0,13.8
20010103,1,5,0.96,1.0152,0.41,2.0,11.3,7.8,14.8
20010104,1,5,0.95,1.015,0.18,0.0,9.0,5.4,12.6
20010105,1,4,0.87,1.0153,0.85,7.0,10.0,6.0,14.0
20010106,1,5,0.87,1.0146,0.77,6.0,12.0,7.6,16.4
20010107,1,5,0.68,1.0134,0.56,2.4,14.4,11.0,17.8
20010108,1,7,0.96,1.0091,0.13,0.0,10.5,6.2,14.8
